index,time_s,wavelength_nm,A_main_real,A_main_imag,A_aux_real,A_aux_imag,main_spectrum_db,aux_spectrum_db,param_wl_center_nm,param_FSR_main,param_FSR_aux,param_coupling_ring_bus,param_coupling_ring_ring,param_coupling_ring_drop,param_gamma,param_alpha_int_main,param_alpha_int_aux,param_beta_2,param_intensity_in,param_detuning_main,param_detuning_aux,param_detuning_step,param_nrt,param_n_per_step,param_n_small_time
858,1.6935484e-11,1587.397,-2.594895,-0.4849799,6.3979607,-10.650517,-80.83550773256167,-77.59348628235672,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
859,1.698436e-11,1587.229,-2.6874633,-0.5557284,6.3007083,-10.66036,-74.60634316959037,-73.58633628592915,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
860,1.7033236e-11,1587.061,-2.7776577,-0.62404054,6.17655,-10.654632,-83.54176812938522,-83.44550340502856,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
861,1.7082112e-11,1586.8932,-2.8668194,-0.6890285,6.024427,-10.635097,-76.7390062817136,-71.8883872221423,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
862,1.7130986e-11,1586.7255,-2.9527245,-0.75283545,5.8497996,-10.597459,-82.15086433071485,-74.17063371767865,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
863,1.7179863e-11,1586.5579,-3.0361238,-0.8161386,5.6501656,-10.546295,-91.97892240073715,-71.14771679580714,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
864,1.7228738e-11,1586.39,-3.1161368,-0.8796485,5.432047,-10.474852,-77.28050921800849,-71.38341301084216,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
865,1.7277615e-11,1586.2223,-3.192107,-0.9448354,5.191808,-10.3909025,-74.3545621023656,-70.49043849661678,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
866,1.732649e-11,1586.0546,-3.2649515,-1.011465,4.9375806,-10.286847,-77.0587307382229,-64.30924221019453,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
867,1.7375367e-11,1585.887,-3.3328466,-1.0817373,4.6664314,-10.169431,-76.02082436858353,-63.510120233574185,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
868,1.7424241e-11,1585.7194,-3.3974602,-1.1541085,4.384103,-10.033672,-86.49665539872163,-65.35907146811545,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
869,1.7473118e-11,1585.5518,-3.4573047,-1.2301949,4.0895157,-9.884632,-72.43819628753789,-74.64293271734948,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
870,1.7521993e-11,1585.3842,-3.514251,-1.3085068,3.7872708,-9.719738,-86.39595946923278,-74.90404784635575,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
871,1.757087e-11,1585.2168,-3.5665874,-1.3897157,3.4789531,-9.540908,-95.24652353486113,-83.61516072601438,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
872,1.7619744e-11,1585.0492,-3.61622,-1.4714426,3.164981,-9.349198,-76.25110404691961,-77.94107029816251,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
873,1.7668622e-11,1584.8818,-3.6622353,-1.5543938,2.850667,-9.142672,-82.18162483652608,-78.04804384230721,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
874,1.7717498e-11,1584.7144,-3.705485,-1.6359314,2.5330951,-8.927197,-82.57653898809629,-84.63568596875209,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
875,1.7766373e-11,1584.547,-3.7460346,-1.7155725,2.2207026,-8.696407,-76.94236040907113,-82.85292651868394,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
876,1.781525e-11,1584.3798,-3.7841692,-1.7917556,1.9077542,-8.458808,-84.26544258667043,-85.53898283102312,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
877,1.7864125e-11,1584.2125,-3.8197017,-1.8628032,1.6037192,-8.20769,-81.65065959354448,-79.67489501155895,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
878,1.7913001e-11,1584.0453,-3.8527718,-1.9279125,1.3025898,-7.9516344,-95.07987003621885,-78.03475003013111,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
879,1.7961877e-11,1583.878,-3.8833408,-1.9852271,1.0128204,-7.6849833,-104.11956392225403,-93.69786118186724,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
880,1.8010753e-11,1583.7108,-3.910939,-2.034918,0.72836185,-7.4144125,-82.12361775245313,-75.05179548246088,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
